Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2020-01-02,102.59785461425781,102.97666861425603,102.1053976234854,102.27964698473846,3293436
2020-01-03,101.7796401977539,102.1736058676091,101.18868564684361,101.19626144463871,2482890
2020-01-06,101.59779357910156,101.70385473217797,100.9159235117403,101.08260313025646,2537073
2020-01-07,101.66598510742188,102.24936386062302,101.06746685088336,101.28717707922861,3232977
2020-01-08,102.5145263671875,102.93122544184398,101.46142405399084,101.90842631730341,4545916
2020-01-09,103.59791564941406,103.63580067542982,102.51451031718277,102.84028768261213,3902208
2020-01-10,103.56004333496094,104.45404783135315,103.27215096020973,103.79491117748414,3405148
2020-01-13,103.49183654785156,103.52215182229727,102.33267332153896,102.64329907740708,3693426
2020-01-14,102.90090942382812,103.90098719583983,102.6963568557377,103.24942027538488,3850326
2020-01-15,103.50701904296875,104.59799426149667,102.8175671076146,103.03728335683209,4232011
2020-01-16,104.53738403320312,104.69648180889985,103.80248943563585,104.03734517779452,4519661
2020-01-17,104.78740692138672,104.80255851517947,103.15850780450978,103.44640017882574,5881972
2020-01-21,105.43896484375,105.5753412841642,104.24948609625727,104.4085959741585,7577329
2020-01-22,109.01494598388672,110.45444400621592,107.99972882737462,108.58310746021527,17228038
2020-01-23,108.24219512939453,109.40894048216525,107.69670143999761,109.24983059843214,5918059
2020-01-24,106.4920654296875,109.03769042017042,106.4163074597118,108.6361550409185,5836889
2020-01-27,105.02227020263672,106.12083943104037,104.62830455126587,104.93136063336091,4358264
2020-01-28,105.72685241699219,106.4238740893413,105.12075239820113,105.68897947924198,3610374
2020-01-29,104.31766510009766,105.7495813211763,104.24947688591492,105.43895552831833,3194275
2020-01-30,103.62065124511719,103.77216716783664,102.25692329487522,103.613069402855,5290563
2020-01-31,108.89374542236328,109.13618302119154,106.66631597366452,108.26491194179738,19868352
2020-02-03,110.81812286376953,111.58332071982075,109.02254401350018,109.28771505941275,9295488
2020-02-04,112.96977233886719,113.17432489557353,111.28026689325954,111.96212487195179,5879566
2020-02-05,118.43984985351562,119.28081779847524,113.75771674368464,113.80317152907998,15048593
2020-02-06,118.76566314697266,120.27335010197551,117.75044550533858,118.8111300383508,8786923
2020-02-07,117.44121551513672,119.07181369978777,117.06609472454399,118.3139233249177,6718876
2020-02-10,118.22210693359375,118.22975573002442,116.04031829805677,117.10441739126861,5480831
2020-02-11,117.49481964111328,118.82684621989027,116.92065908850856,118.75029718151976,4011515
2020-02-12,118.89575958251953,119.11777014607296,117.52545222409816,117.70152114103843,4641939
2020-02-13,118.1302261352539,118.52830563561278,117.4412480239514,118.17616778415966,3996452
2020-02-14,115.36665344238281,118.32163040741942,114.65470442649342,118.21444950594037,6379763
2020-02-18,115.67283630371094,115.88718584071624,114.5551591932952,114.66998886602939,3496778
2020-02-19,115.48909759521484,116.27760765440986,115.0680595667368,116.00966769891218,2858613
2020-02-20,115.76470184326172,116.07091021641874,114.45563386180456,115.45083245697793,3013003
2020-02-21,114.7082748413086,115.62692458236208,113.9427354268514,115.62692458236208,3699597
2020-02-24,112.0977783203125,113.33795842769504,111.29397055140346,111.39349042307471,5703210
2020-02-25,108.48443603515625,112.58772132176523,108.1399470144739,112.15902224466863,6497229
2020-02-26,106.9840087890625,110.28348733970469,106.86917908143162,109.39545708636305,5656663
2020-02-27,101.90079498291016,106.17250004966968,101.82424594600536,105.06247181268216,8808471
2020-02-28,99.63481140136719,100.354421283199,96.73342548881058,99.50467191836539,13607832
2020-03-02,102.81179809570312,102.9189789811016,97.95063420861312,100.09414194987392,8923844
2020-03-03,98.67791748046875,104.18978595938445,97.83582281426916,102.94961784260194,8259321
2020-03-04,102.75055694580078,102.7964863736071,98.75444624693081,100.72953993709338,5226234
2020-03-05,99.17550659179688,101.27307896853424,98.33341201338082,99.90276537054456,5696725
2020-03-06,97.78221130371094,98.24153612356237,95.32483420871326,96.99370726003514,8570192
2020-03-09,90.18805694580078,93.709532249265,89.78231654164081,91.98706911242526,11252345
2020-03-10,95.51622009277344,95.60043015311174,88.61871725155231,93.9928024298251,11935592
2020-03-11,90.31055450439453,93.83968521891317,89.09334533519782,92.63779196713855,8835039
2020-03-12,78.70500183105469,84.05611639881032,78.29926743178586,83.94128671533484,13088284
2020-03-13,82.6398696899414,83.56617430750522,77.17392528358413,83.19871442254563,13077197
2020-03-16,75.84954071044922,82.22647326332299,72.72614417691734,75.0227560407877,11054128
2020-03-17,81.6446762084961,82.21883078857913,74.333783108406,77.02082605445361,9684182
2020-03-18,79.2715072631836,81.85902416593125,76.09451987143298,76.10217477694165,9176035
2020-03-19,76.81411743164062,79.3786692028116,75.20648367754426,78.3375350202469,8782739
2020-03-20,73.02471160888672,77.31172739757733,72.5041413913164,77.25813695105077,11031639
2020-03-23,72.55005645751953,74.82370320996023,69.32714062024597,72.41991699448579,10176952
2020-03-24,80.74898529052734,81.1776843809817,75.98733532207147,76.54618000797629,8340699
2020-03-25,81.03223419189453,86.10775351767914,78.72030642852604,80.74898439980402,9052084
2020-03-26,86.421630859375,86.62067061162432,80.81789206655888,81.84371044837867,7482561
