epoch,train_loss,test_loss,data,pred,avg_grad_norm
1,35.72168151092529,41.83650031922355,0.6907169,1.3284925,25.737772028412138
2,15.399431533813477,20.91741907028925,0.6907169,0.33343542,13.427029935956002
3,7.994393161773681,12.478756798638237,0.6907169,0.13499469,6.923769019995417
4,5.015770388603211,8.282061766064356,0.6907169,0.04836631,4.08921010745849
5,3.618040154457092,5.682168127998473,0.6907169,0.05826223,2.762513166365879
6,2.84072957611084,4.017639462910001,0.6907169,0.13541955,1.9953670266430292
7,2.3579341173171997,2.897489831561134,0.6907169,0.22613126,1.5010398150469575
8,2.034418534755707,2.139524263048929,0.6907169,0.30696717,1.1783557724058629
9,1.8056528868675232,1.6070148386652507,0.6907169,0.38053823,0.9282309906046305
10,1.6372036604881286,1.231620763029371,0.6907169,0.43626267,0.7546481420243425
11,1.5093840680122375,0.9505264323855204,0.6907169,0.48370346,0.6281825664591576
12,1.4101593337059022,0.7433627848587339,0.6907169,0.5215004,0.5242152451010686
13,1.3313356738090516,0.5862610420537373,0.6907169,0.55112135,0.44707914476469157
14,1.2680630750656128,0.4653302582483443,0.6907169,0.5766925,0.37758321358902114
15,1.2163158226013184,0.3716138847290523,0.6907169,0.5987499,0.3276290064752102
16,1.1735255208015443,0.29889441695478225,0.6907169,0.61351174,0.28266989538658943
17,1.1378438749313355,0.2408731310140519,0.6907169,0.6268231,0.24403599728031883
18,1.1075720834732055,0.19578397297669972,0.6907169,0.63455135,0.21442609035862345
19,1.0819036812782288,0.15898140815515366,0.6907169,0.6465051,0.18783127370716204
20,1.0598434991836547,0.1293648099378934,0.6907169,0.6545244,0.16695966480725577
21,1.0407954545021056,0.10582309411395163,0.6907169,0.6589393,0.14700901233085564
22,1.024243015050888,0.08661425403422779,0.6907169,0.6653809,0.13031268408309135
23,1.00974972987175,0.07107882994034934,0.6907169,0.6703289,0.11621353228470044
24,0.9969891753196717,0.05838154948183468,0.6907169,0.6722819,0.1014197767420805
25,0.9857258279323577,0.04808628440849365,0.6907169,0.673169,0.09196757529223604
26,0.9756593670845032,0.03949914328635685,0.6907169,0.67573094,0.0834241869208802
27,0.9666585388183594,0.03252561000131425,0.6907169,0.6771252,0.07272210833044457
28,0.9585503067970276,0.02682942994648502,0.6907169,0.6802183,0.06532290850666218
29,0.9512002263069153,0.022117539634188964,0.6907169,0.68207896,0.05845643150666729
30,0.9445130105018615,0.01823607606015035,0.6907169,0.68182707,0.052012605808342674
31,0.9383623304367066,0.015102057976441251,0.6907169,0.6834738,0.04738452075694555
32,0.932679505109787,0.012469192988993157,0.6907169,0.6822682,0.0427020074081208
33,0.9273921415805817,0.010280739782111985,0.6907169,0.68447423,0.03731110292027837
34,0.9224460997581482,0.008491549943943345,0.6907169,0.6851071,0.03482220976636745
35,0.9177748870849609,0.007007430333437191,0.6907169,0.6858051,0.03135762499099863
36,0.9133561298847198,0.005762017997247832,0.6907169,0.68581396,0.027751135621386182
37,0.9091271438598633,0.004754608094189611,0.6907169,0.6861502,0.024998327263797235
38,0.9050709407329559,0.003931595095699387,0.6907169,0.687429,0.022840700050549848
39,0.9011495196819306,0.003243807269008978,0.6907169,0.6871545,0.020420540382952563
40,0.8973445897102356,0.0026769121602502844,0.6907169,0.6875243,0.018268682843406818
41,0.8936361343860626,0.0022096775900868194,0.6907169,0.68823063,0.016626990444692118
42,0.8900016114711762,0.0018401578722876451,0.6907169,0.688591,0.01542509858316875
43,0.8864320745468139,0.001515046543707805,0.6907169,0.68926126,0.013739686183997298
44,0.8829090526103973,0.001257665813826616,0.6907169,0.68939334,0.012239675167382561
45,0.879423543214798,0.0010456009601641978,0.6907169,0.6901384,0.011288695600948164
